NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ENSINO,TP_ESCOLA,TP_LOCALIZACAO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q008,Q009,Q010,Q011,Q022,Q024,MEDIA_NOTAS,Q025
17,M,1,3,1,2,1,470.4,470,514.2,462,560,C,B,4,B,B,C,A,A,C,A,495.32,B
19,F,1,3,1,2,1,417.9,557.6,533.4,569.5,920,B,C,6,B,B,D,A,B,C,A,599.68,B
17,M,1,3,1,2,1,592.5,620,603.8,693.8,820,E,E,5,C,C,D,A,A,D,B,666.02,B
19,M,1,1,1,2,1,470,573.8,468.4,459.5,620,A,C,4,C,B,C,A,A,C,B,518.34,B
19,M,3,1,1,2,1,433.8,370,464.8,398.2,360,A,D,3,B,B,B,A,A,B,A,405.36,A
17,F,1,3,1,2,1,357.4,445.6,442.5,427.5,360,B,B,4,A,B,B,A,A,A,A,406.6,A
17,F,1,3,1,2,1,541.4,469.9,502.2,455.2,520,B,C,4,B,B,C,A,A,B,A,497.74,B
21,F,1,3,1,2,1,447.2,482.1,531.5,442.1,860,C,A,4,B,B,C,A,B,B,A,552.58,B
17,F,1,1,1,2,1,425.6,547.3,492.4,576.5,840,G,E,4,G,D,D,A,A,E,B,576.36,B
17,F,1,2,1,2,,540.5,519.3,536.2,445.1,660,A,B,3,C,B,C,A,A,B,A,540.22,B
17,F,1,3,1,2,1,450.9,453.1,542,503.6,700,H,E,3,B,B,C,A,A,C,A,529.92,B
20,F,1,0,1,2,1,413.3,420.3,524.8,402.2,620,H,D,5,C,B,D,A,B,E,A,476.12,B
18,F,1,3,1,3,1,566.2,595.7,557,481.2,700,G,E,5,E,C,D,A,A,C,C,580.02,B
18,F,1,1,1,2,1,394.9,386.3,454.7,359.5,340,F,G,3,C,B,D,A,A,D,A,387.08,B
17,F,1,3,,2,1,417.6,452.8,453.9,390.1,300,B,B,4,A,B,C,A,A,B,A,402.88,A
17,F,1,1,1,2,1,427.6,403.3,469.5,385,580,D,C,3,B,B,C,A,A,B,A,453.08,A
17,F,1,3,1,2,1,514.2,584.6,550.4,447.5,860,D,G,4,E,B,C,B,A,D,A,591.34,B
18,F,1,3,1,2,1,399,526.2,500.4,415.6,620,B,D,4,C,B,D,A,B,C,A,492.24,B
17,F,0,3,1,2,1,371.9,453.7,471.6,439.7,600,D,D,5,B,B,D,B,A,E,A,467.38,B
19,M,1,3,1,2,1,389.1,522.2,492.5,431.7,560,B,B,2,B,B,C,A,A,B,A,479.1,B
18,F,1,3,1,2,1,499.1,531.3,552.7,582.5,740,D,D,3,B,B,B,A,A,B,A,581.12,A
18,F,1,3,1,2,1,435,473.1,484.2,443.4,640,B,B,3,B,B,D,A,B,B,A,495.14,B
18,F,1,2,,2,,397.8,458.1,496.4,391.1,520,B,B,3,B,B,B,A,A,B,A,452.68,A
17,F,1,3,1,2,1,369.9,487.6,440.9,420.5,320,C,B,4,C,B,D,A,B,D,A,407.78,B
17,F,1,1,1,2,1,530.6,341.2,549.8,427.7,780,C,C,5,B,C,D,B,A,D,A,525.86,B
17,F,1,3,1,2,,387.6,341.2,366.6,414.2,0,C,B,5,C,B,D,A,B,D,A,301.92,B
18,M,1,3,1,2,1,456.6,550.6,526,423.8,880,C,B,3,B,B,C,A,A,C,A,567.4,B
19,M,1,2,1,2,1,348,473.4,472.8,495,580,B,B,4,B,B,C,B,A,B,A,473.84,B
18,F,1,3,1,2,1,468.5,574.4,556.2,517.1,680,B,E,4,A,B,C,A,A,B,A,559.24,B
18,F,1,1,1,2,1,391.1,426.6,454.9,446.8,360,C,A,4,C,B,C,A,B,C,A,415.88,B
18,M,1,3,1,2,,474.4,457,520.7,398.8,400,A,B,4,C,B,C,A,A,B,A,450.18,B
19,M,1,2,1,2,1,380.1,559.8,543.9,407,740,C,D,5,B,B,C,A,A,B,A,526.16,A
17,F,1,3,1,2,,465,554.1,528.3,390,760,E,C,3,A,B,B,A,A,B,A,539.48,A
17,F,1,1,1,2,1,342.6,391.6,440,452.8,560,H,C,3,B,B,C,A,A,B,A,437.4,B
17,F,1,3,1,2,,416.2,520.2,569.7,495.7,660,E,E,4,E,C,D,A,B,D,A,532.36,B
19,M,1,3,1,2,1,362.7,455.9,420,371.3,580,C,E,3,C,B,C,B,A,C,A,437.98,A
17,F,1,3,1,2,1,480.9,413.1,547.3,471.1,700,B,E,6,B,B,C,A,A,B,A,522.48,A
17,F,1,1,1,2,1,516.7,529,578.9,672.9,780,C,B,4,D,D,D,B,A,D,B,615.5,B
18,F,1,3,1,2,1,521.1,451.7,584.5,631.1,900,C,E,4,C,C,D,A,B,D,B,617.68,B
17,M,1,3,1,2,1,494.9,486.7,523.5,538,600,E,E,4,C,C,D,B,B,D,A,528.62,B
17,M,1,3,1,2,1,370.5,487,426.7,491.7,580,E,E,5,D,B,C,A,B,C,A,471.18,B
17,M,1,3,1,2,1,433,488.1,516.7,598,540,C,C,4,C,B,C,A,A,E,B,515.16,B
17,M,1,1,1,2,1,413.9,496.1,540,454.6,600,H,H,4,A,B,C,A,A,A,A,500.92,A
18,M,1,3,1,2,1,432.8,465.2,451.8,442.1,300,D,E,2,A,B,B,C,C,B,A,418.38,B
17,F,1,3,1,3,1,538,570,556.4,594.4,640,D,G,3,E,B,C,B,A,C,A,579.76,B
20,M,1,3,1,2,1,407.4,370.4,479.6,405.8,0,D,G,4,G,C,C,B,B,D,A,332.64,B
17,F,1,4,1,3,1,507.9,552.6,505.5,525.8,700,E,G,4,B,C,D,B,A,C,B,558.36,B
19,F,1,2,1,2,1,549.7,512.1,567.3,515.2,620,C,E,6,B,B,D,A,A,C,B,552.86,B
18,F,1,1,,2,1,436.4,456.2,499.8,511.4,560,B,B,5,B,B,D,A,A,C,B,492.76,B
17,F,1,4,1,2,1,468.8,562,553.8,562.7,900,B,B,5,B,B,C,A,A,D,A,609.46,B
